	HM406CO	HM406TI	HM422CO1	HM422TI1
158924089-stool1_revised_scaffold19189_1_gene19675	0	0	0	0
158924089-stool1_revised_scaffold4375_1_gene41985	13729000	1903700	23608000	0
158924089-stool1_revised_scaffold7832_1_gene63065	0	0	0	0
MH0101_GL0004818	0	0	0	0
158944319-stool1_revised_C1009363_1_gene11361	0	0	6556500	0
DOF004_GL0075102	0	0	0	0
158944319-stool1_revised_C1037497_1_gene81211	0	0	0	0
MH0342_GL0101661	0	0	0	0
MH0397_GL0082555	0	0	0	0
158944319-stool1_revised_C1049427_1_gene84617	0	0	228470000	0
O2.UC9-0_GL0144398	7253300	0	0	0
158944319-stool1_revised_C1052791_1_gene93788	0	0	0	0
V1.CD38-0_GL0163412	0	0	5439800	0
158944319-stool1_revised_C970985_1_gene52593	0	0	0	0
158944319-stool1_revised_C975547_1_gene19372	2607000	0	2389700	0
BGI-15A_GL0033693	0	0	0	0
158944319-stool1_revised_scaffold14785_1_gene24143	0	0	0	0
MH0054_GL0013106	0	0	0	0
763577454-stool2_revised_C962726_1_gene106886	0	0	0	0
MH0441_GL0138095	5439900	0	5917300	0
158944319-stool1_revised_scaffold26822_1_gene71557	0	0	0	0
158944319-stool1_revised_scaffold28689_1_gene49410	0	0	0	0
158944319-stool1_revised_scaffold28694_1_gene96511	0	0	1447800	0
158944319-stool1_revised_scaffold6832_1_gene81873	0	0	0	0
158944319-stool2_revised_C1429391_1_gene46428	0	0	0	0
158944319-stool2_revised_C1430611_1_gene530	0	0	0	0
764062976-stool1_revised_C1281323_1_gene39525	0	3606000	0	0
158944319-stool2_revised_C1482255_1_gene56025	0	0	0	0
158944319-stool2_revised_scaffold12984_1_gene74022	0	0	0	0
158944319-stool2_revised_scaffold16463_1_gene51462	0	0	0	0
160400887-stool1_revised_scaffold30907_1_gene100840	0	0	0	0
158944319-stool2_revised_scaffold23536_1_gene31801	0	0	0	0
158944319-stool2_revised_scaffold27758_1_gene44368	0	0	4490100	0
MH0188_GL0171016	0	0	0	0
158944319-stool2_revised_scaffold3024_1_gene31168	0	0	0	0
158944319-stool2_revised_scaffold3981_1_gene64637	0	0	0	0
158944319-stool2_revised_scaffold6899_3_gene45061	0	0	0	0
MH0187_GL0027654	0	0	0	0
V1.CD3-0-PN_GL0091567	0	0	0	0
159005010-stool1_revised_C456705_1_gene46542	11902000	0	48258000	2183200
159005010-stool1_revised_C463831_1_gene87170	0	0	0	2511300
159005010-stool1_revised_C467833_1_gene8408	0	0	0	69820000
159005010-stool1_revised_C469127_1_gene74912	10074000	21073000	12832000	6243300
MH0068_GL0034091	0	0	0	0
159005010-stool1_revised_C488127_1_gene29643	19961000	0	0	0
159005010-stool1_revised_scaffold10827_2_gene16144	0	0	0	0
159005010-stool1_revised_scaffold10935_1_gene38158	12965000	7311500	28911000	0
159005010-stool1_revised_scaffold12517_1_gene88879	0	0	0	94077000
MH0333_GL0014264	0	0	0	0
MH0002_GL0017554	9504700	0	0	0
159005010-stool1_revised_scaffold15161_1_gene35037	77047	0	496980	0
V1.UC8-0_GL0007669	0	0	0	0
159005010-stool1_revised_scaffold8673_1_gene78187	5225200	0	0	0
159005010-stool1_revised_scaffold9951_1_gene16693	0	0	0	0
159146620-stool1_revised_C311285_1_gene41727	0	0	0	0
160765029-stool1_revised_C1049914_1_gene109936	0	0	0	0
763860675-stool2_revised_C953897_1_gene75072	0	0	0	0
159146620-stool1_revised_C322155_1_gene10192	3942200	7074600	43513000	1004900
159146620-stool1_revised_scaffold216_1_gene5563	0	0	0	0
159146620-stool1_revised_scaffold350_1_gene37902	0	0	0	0
159146620-stool1_revised_scaffold6588_1_gene34209	0	0	0	0
159146620-stool1_revised_scaffold8760_1_gene8676	0	0	0	0
159146620-stool1_revised_scaffold9107_1_gene15820	0	7266100	2362900	0
DOM005_GL0012564	0	0	0	0
MH0267_GL0121518	8948100	2113200	0	0
159166850-stool1_revised_C1007971_1_gene8336	0	0	0	0
159166850-stool1_revised_C1032873_1_gene65572	0	0	0	0
MH0358_GL0109511	0	0	0	0
159166850-stool1_revised_C1053609_1_gene48185	0	0	0	0
159166850-stool1_revised_C1064781_1_gene26369	5255800	0	0	0
T2D-11A_GL0020089	0	0	0	0
159166850-stool1_revised_C986267_1_gene35329	0	0	2093300	0
159166850-stool1_revised_scaffold10449_1_gene10992	0	0	0	0
159166850-stool1_revised_scaffold12036_2_gene116164	0	0	9652800	0
159166850-stool1_revised_scaffold13048_1_gene64053	0	3181000	2085900	6360100
159166850-stool1_revised_scaffold13517_1_gene18034	0	0	0	0
159166850-stool1_revised_scaffold2018_1_gene130009	0	0	0	0
MH0055_GL0074555	0	0	0	0
159166850-stool1_revised_scaffold22019_1_gene80342	0	0	0	0
V1.UC10-2_GL0164421	0	0	0	0
159166850-stool1_revised_scaffold26981_2_gene95555	0	0	0	0
159166850-stool1_revised_scaffold28117_1_gene109511	845660	619560	752240	174280
HM419CO_revised_scaffold2658_1_gene123613	0	0	0	0
159166850-stool1_revised_scaffold340_1_gene130488	0	0	4375600	0
T2D-135A_GL0014568	0	0	16156000	0
159166850-stool1_revised_scaffold8573_2_gene38121	0	0	10241000	0
159207311-stool1_revised_C1102330_1_gene170063	0	0	0	0
159207311-stool1_revised_C1121130_1_gene56167	15945000	0	12651000	0
MH0174_GL0035388	0	0	0	0
159207311-stool1_revised_C1139048_1_gene21395	0	0	0	0
MH0020_GL0030894	0	0	0	0
MH0019_GL0024039	0	0	3937700	4380700
159207311-stool1_revised_scaffold35941_1_gene172198	0	0	0	0
159207311-stool1_revised_scaffold38879_1_gene25966	2639500	5543100	0	2792300
MH0391_GL0175730	0	0	0	0
159207311-stool2_revised_C1378455_1_gene103731	0	0	0	0
159207311-stool2_revised_C1420856_1_gene57238	11523000	0	3679200	0
159207311-stool2_revised_C1429184_1_gene52267	45665000	8462100	6906800	0
159207311-stool2_revised_C1433448_1_gene39941	0	7901000	28189000	0
O2.UC31-0_GL0048348	0	0	0	0
V1.FI12_GL0205321	0	0	0	0
MH0101_GL0095681	0	0	0	0
159207311-stool2_revised_scaffold17437_1_gene135970	0	0	0	0
159207311-stool2_revised_scaffold26560_1_gene111421	0	0	0	0
159207311-stool2_revised_scaffold27523_3_gene22993	0	0	11955000	5353700
159207311-stool2_revised_scaffold27937_2_gene147442	0	0	0	0
MH0028_GL0058435	0	0	0	0
159207311-stool2_revised_scaffold7363_2_gene40085	543420	106510000	133400000	161020000
159207311-stool2_revised_scaffold7931_2_gene3452	0	0	0	0
MH0176_GL0002002	0	0	0	0
159207311-stool2_revised_scaffold9981_1_gene70133	0	0	0	0
159227541-stool1_revised_C451026_1_gene61428	0	0	0	0
159227541-stool1_revised_C469374_1_gene14596	0	0	0	0
159227541-stool1_revised_C483006_1_gene67570	0	0	0	0
O2.UC30-1_GL0082920	0	0	0	0
159227541-stool1_revised_scaffold11842_1_gene55852	0	0	0	0
159227541-stool1_revised_scaffold12009_1_gene81044	0	0	0	0
DLM005_GL0038757	0	0	0	0
159227541-stool1_revised_scaffold2558_1_gene46405	0	0	0	0
159227541-stool1_revised_scaffold3060_1_gene75561	0	0	0	0
T2D-135A_GL0002807	29986000	27296000	9536300	30772000
159227541-stool1_revised_scaffold5836_2_gene23845	0	12526000	6371200	0
DLM005_GL0067082	0	0	0	0
765701615-stool1_revised_scaffold29116_1_gene208782	0	0	0	0
O2.UC1-2_GL0042223	0	0	0	0
159227541-stool2_revised_C868360_1_gene27008	82377000	93610000	8148700	1341800
MH0212_GL0149453	0	0	0	0
N039A_GL0004047	0	0	0	0
159227541-stool2_revised_C936378_1_gene31542	0	0	0	0
159227541-stool2_revised_scaffold13048_1_gene95547	0	0	0	0
159227541-stool2_revised_scaffold17544_1_gene128807	0	430420000	9176300	4456500
159227541-stool2_revised_scaffold26509_1_gene79822	0	6379100	22091000	12254000
159227541-stool2_revised_scaffold26513_1_gene57574	0	0	0	0
159227541-stool2_revised_scaffold27298_1_gene10201	0	7200800	43113000	17162000
MH0267_GL0134244	33082000	15821000	470940000	5794400
159227541-stool2_revised_scaffold30348_1_2_gene13	0	0	0	0
T2D-135A_GL0116624	0	0	0	0
MH0056_GL0005400	0	0	6419900	0
159227541-stool2_revised_scaffold698_2_gene93992	0	0	0	0
159227541-stool3_revised_C685526_1_gene91584	0	27668000	21969000	3642400
T2D-135A_GL0072402	0	0	3605800	0
MH0373_GL0151425	5090800	0	8470900	3908800
159227541-stool3_revised_C738988_1_gene24400	0	0	12828000	10338000
159227541-stool3_revised_C746076_1_gene40624	0	0	0	0
DLM019_GL0063260	0	0	0	0
159227541-stool3_revised_scaffold14507_1_gene33968	0	0	0	0
159227541-stool3_revised_scaffold4954_1_gene36679	0	0	0	0
159247771-stool1_revised_C644432_1_gene92752	0	0	5615000	0
MH0110_GL0045307	0	0	0	0
N039A_GL0047837	0	0	0	0
159247771-stool1_revised_C694348_1_gene110	0	0	6245300	0
159247771-stool1_revised_C695002_1_gene70227	0	0	0	0
159247771-stool1_revised_C697382_1_gene52942	0	0	0	0
159247771-stool1_revised_C700744_1_gene45087	0	0	0	0
159247771-stool1_revised_scaffold10125_1_gene2193	0	0	0	0
MH0166_GL0052900	0	0	0	0
159247771-stool1_revised_scaffold13760_1_gene99691	0	0	0	0
159247771-stool1_revised_scaffold1449_5_gene26122	0	0	0	0
159247771-stool1_revised_scaffold14992_2_gene92683	0	0	0	0
159247771-stool1_revised_scaffold17378_1_gene32400	0	0	0	0
159247771-stool1_revised_scaffold3107_1_gene60146	0	0	0	0
159247771-stool1_revised_scaffold718_3_gene72089	0	0	11709000	0
159247771-stool2_revised_C419082_1_gene23070	0	0	0	0
404239096-stool1_revised_scaffold3042_1_gene37007	0	0	11780000	0
159247771-stool2_revised_C448297_1_gene49147	0	0	0	0
MH0318_GL0174044	0	0	0	0
159247771-stool2_revised_C457017_1_gene19465	0	0	0	0
DLF013_GL0057133	0	0	0	3188700
159247771-stool2_revised_C469555_1_gene34468	0	0	0	0
HM494TI_revised_scaffold51266_3_gene142814	0	0	4217900	0
159247771-stool2_revised_C474917_1_gene60423	0	0	0	0
MH0015_GL0032493	0	0	0	0
159247771-stool2_revised_scaffold1480_1_gene13496	0	0	0	0
159247771-stool2_revised_scaffold5291_1_gene9697	0	6516100	0	12264000
159247771-stool2_revised_scaffold6557_1_gene10844	0	0	0	0
T2D-118A_GL0073182	0	0	3010300	0
159268001-stool1_revised_C1013735_1_gene50577	137360000	16363000	0	0
159268001-stool1_revised_C1025101_1_gene35952	0	0	0	0
T2D-110A_GL0073957	13483000	0	0	0
159268001-stool1_revised_C1070069_1_gene105861	0	41948000	0	0
159268001-stool1_revised_C1076201_1_gene8360	0	0	0	0
NOF013_GL0023080	0	0	4770900	0
159268001-stool1_revised_C1097967_1_gene2706	0	0	401070000	6341800
159268001-stool1_revised_C1106135_1_gene4442	15108000	23125000	24963000	5829500
159268001-stool1_revised_C1110215_1_gene66250	0	0	0	0
159268001-stool1_revised_C1112805_1_gene1285	0	0	0	0
159268001-stool1_revised_C1117659_1_gene17088	0	0	0	0
V1.FI17_GL0191973	0	315810	15371000	15279000
159268001-stool1_revised_scaffold15517_1_gene5922	0	0	0	0
159268001-stool1_revised_scaffold17489_1_gene138708	0	0	0	0
O2.CD2-0_GL0087603	0	0	0	0
MH0002_GL0030003	0	6739200	10429000	0
159268001-stool1_revised_scaffold2545_1_gene9802	0	0	0	0
MH0386_GL0131000	0	14449000	7275400	5786300
MH0020_GL0004156	0	0	0	2164600
159268001-stool1_revised_scaffold33597_1_gene42866	0	0	0	0
159268001-stool1_revised_scaffold3523_1_gene74219	0	0	0	0
159268001-stool1_revised_scaffold35839_2_gene113845	0	0	24723000	0
MH0039_GL0021896	0	0	0	0
159268001-stool1_revised_scaffold37768_1_gene120425	0	0	0	0
159268001-stool1_revised_scaffold37826_1_gene25218	0	0	0	5678400
159268001-stool1_revised_scaffold38788_1_gene68109	0	13821000	0	0
159268001-stool1_revised_scaffold39368_1_gene158820	0	2443000	5312500	30953000
159268001-stool1_revised_scaffold41030_1_gene101359	0	0	0	0
MH0328_GL0096042	0	0	5403300	0
159268001-stool1_revised_scaffold43251_1_gene146034	15925000	0	24636000	0
159268001-stool1_revised_scaffold45301_1_gene143879	0	0	0	0
159268001-stool1_revised_scaffold46915_1_gene34735	6666600	0	23366000	2000800
T2D-135A_GL0018891	0	0	120460000	6088200
T2D-135A_GL0114506	0	0	0	0
V1.FI30_GL0046792	0	9916700	0	0
159268001-stool2_revised_C732843_1_gene35024	0	3744500	12097000	19043000
T2D-35A_GL0012227	58481000	0	12797000	2727600
159268001-stool2_revised_C778701_1_gene76811	0	0	869370	0
159268001-stool2_revised_C797189_1_gene86998	0	0	0	0
159268001-stool2_revised_scaffold12265_1_gene97097	0	0	16040000	13992000
159268001-stool2_revised_scaffold1608_1_gene43841	0	0	0	0
159268001-stool2_revised_scaffold16191_1_gene108819	0	0	0	0
MH0186_GL0053636	0	0	0	0
159268001-stool2_revised_scaffold17156_1_gene14159	0	0	23667000	850010
159268001-stool2_revised_scaffold17730_1_gene18950	0	0	12555000	0
MH0085_GL0039800	0	0	0	0
159268001-stool2_revised_scaffold25494_1_gene120314	0	0	0	0
159268001-stool2_revised_scaffold26383_1_gene17983	0	0	0	0
159268001-stool2_revised_scaffold28410_1_gene126919	0	0	0	0
159268001-stool2_revised_scaffold29998_1_gene20507	0	0	0	0
159268001-stool2_revised_scaffold31782_1_gene92910	0	0	0	0
159268001-stool2_revised_scaffold32060_1_gene39861	0	0	2627100	3367500
159268001-stool2_revised_scaffold32678_1_gene129528	0	2635100	122870000	164280000
159268001-stool2_revised_scaffold33426_1_gene4767	0	12599000	105260000	64183000
MH0448_GL0214517	0	0	0	0
159268001-stool2_revised_scaffold33645_1_gene143773	0	0	9883000	0
159268001-stool2_revised_scaffold33974_1_gene40016	0	0	11323000	9220700
159268001-stool2_revised_scaffold5422_3_gene80929	0	0	0	0
159268001-stool2_revised_scaffold8699_1_gene9455	0	0	3904700	0
159369152-stool1_revised_C207181_1_gene30381	0	0	0	0
159369152-stool1_revised_C218669_1_gene6717	0	0	0	0
159369152-stool1_revised_C233733_1_gene25239	0	0	0	0
159369152-stool1_revised_C239231_1_gene6461	7190100	0	73344000	1756900
159369152-stool1_revised_C243747_1_gene32708	0	0	5101800	0
159369152-stool1_revised_scaffold12541_1_gene27406	0	0	168630000	0
159369152-stool1_revised_scaffold12892_1_gene45558	0	0	5644400	0
MH0101_GL0055903	0	3655500	9173700	0
HM438CO_revised_scaffold34906_2_gene28711	0	0	0	0
MH0395_GL0089174	0	0	0	0
159369152-stool1_revised_scaffold4241_3_gene41771	0	3219800	0	7138900
159369152-stool1_revised_scaffold703_2_gene23961	0	0	0	0
159369152-stool1_revised_scaffold813_1_gene20042	0	0	0	0
159369152-stool1_revised_scaffold8431_1_gene31430	0	0	0	0
MH0274_GL0158096	0	0	5417500	738670
T2D-48A_GL0053230	0	0	0	0
MH0101_GL0039772	0	0	0	0
O2.UC7-0_GL0094419	0	4515900	23379000	0
159369152-stool2_revised_scaffold10192_1_gene1461	0	23054000	0	0
159369152-stool2_revised_scaffold10625_2_gene21790	0	0	0	0
159369152-stool2_revised_scaffold11275_1_gene20059	0	21484000	10457000	8706700
MH0110_GL0042533	0	7427400	0	5435000
159369152-stool2_revised_scaffold12981_2_gene23214	0	0	38811000	0
159369152-stool2_revised_scaffold13100_1_gene1089	0	0	36146000	0
159369152-stool2_revised_scaffold6811_2_gene18211	78578000	0	6128500	5943700
MH0187_GL0105622	0	0	0	0
159490532-stool1_revised_C505316_1_gene13743	0	0	0	0
159490532-stool1_revised_C511594_1_gene35097	0	0	0	0
159490532-stool1_revised_C519250_1_gene7445	0	0	0	0
159490532-stool1_revised_scaffold10207_1_gene75307	0	0	0	0
159490532-stool1_revised_scaffold13698_1_gene21426	0	0	0	0
159490532-stool1_revised_scaffold3356_2_gene89798	0	0	0	0
159490532-stool1_revised_scaffold3614_1_gene14210	0	0	0	0
159490532-stool1_revised_scaffold8888_2_gene50955	2461600	4030000	6985000	0
159490532-stool2_revised_C595344_1_gene83529	0	0	0	0
159490532-stool2_revised_C604702_1_gene2352	0	6358700	0	0
159490532-stool2_revised_C612394_1_gene39828	0	0	0	0
V1.UC50-1_GL0042042	0	0	0	0
159490532-stool2_revised_C629876_1_gene35680	0	0	0	0
764588959-stool1_revised_scaffold38803_1_gene13453	0	0	0	0
159490532-stool2_revised_C639264_1_gene96982	0	0	0	0
159490532-stool2_revised_C640288_1_gene55794	0	0	4222900	0
159490532-stool2_revised_C664880_1_gene104490	0	0	0	0
159490532-stool2_revised_scaffold1239_2_gene100413	0	0	0	0
MH0375_GL0106930	0	0	0	0
159490532-stool2_revised_scaffold14804_2_gene27793	2057500	2574600	25558000	7999300
159490532-stool2_revised_scaffold16623_1_gene37871	0	26105000	0	0
159490532-stool2_revised_scaffold1844_1_gene33590	0	0	0	0
159490532-stool2_revised_scaffold3874_1_gene76177	0	487620	620920	0
159490532-stool2_revised_scaffold7904_2_gene9127	0	0	0	0
159490532-stool2_revised_scaffold8707_1_gene13667	0	0	0	0
159510762-stool1_revised_C324038_1_gene40539	0	0	41398000	0
159510762-stool1_revised_C331870_1_gene6774	0	0	0	0
MH0187_GL0132049	0	0	0	0
159510762-stool1_revised_scaffold10726_1_gene147	0	0	0	4064400
159510762-stool1_revised_scaffold11125_1_gene3934	0	0	0	0
159510762-stool2_revised_scaffold13552_1_gene58180	0	0	0	0
159510762-stool2_revised_scaffold18282_1_gene40967	0	0	0	0
MH0170_GL0054488	0	0	0	0
159510762-stool2_revised_scaffold22150_2_gene11360	0	0	0	0
T2D-135A_GL0072428	0	0	6058600	0
159510762-stool2_revised_scaffold7926_2_gene102723	0	0	0	0
159551223-stool1_revised_C1015937_1_gene47584	0	0	23306000	1013400
159551223-stool1_revised_C1025051_1_gene50822	0	0	0	0
159551223-stool1_revised_C1043269_1_gene45631	0	0	0	0
159551223-stool1_revised_C1054481_1_gene53713	0	0	0	0
159551223-stool1_revised_C1058569_1_gene16565	0	0	0	0
159551223-stool1_revised_C1062277_1_gene176446	0	0	26693000	0
159551223-stool1_revised_C1070203_1_gene48769	0	0	0	0
159551223-stool1_revised_C1072789_1_gene114771	0	0	17861000	0
MH0247_GL0097222	0	0	0	0
159551223-stool1_revised_C956513_1_gene9173	0	0	0	0
159551223-stool1_revised_C996733_1_gene16377	0	0	0	0
159551223-stool1_revised_C998263_1_gene78860	0	0	0	0
159551223-stool1_revised_scaffold11560_3_1_gene117472	0	0	24186000	3174900
159551223-stool1_revised_scaffold13444_1_gene178611	0	0	0	0
MH0272_GL0184755	7865900	0	21049000	0
159551223-stool1_revised_scaffold1560_2_gene17594	0	0	0	0
159551223-stool1_revised_scaffold18547_1_gene104513	5092800	2554800	63699000	3124500
159551223-stool1_revised_scaffold22869_1_gene96265	0	0	0	0
159551223-stool1_revised_scaffold24873_1_gene167643	0	0	0	0
O2.UC48-1_GL0127936	0	0	6617200	0
MH0062_GL0025745	0	0	0	0
N066A_GL0104385	0	0	0	0
N051A_GL0031138	0	0	0	0
159551223-stool1_revised_scaffold33491_2_gene19739	0	0	0	0
159551223-stool1_revised_scaffold35601_1_gene96208	8650400	0	8095900	0
160765029-stool1_revised_C1105981_1_gene114916	0	0	0	0
MH0253_GL0106532	0	12137000	14131000	11948000
160400887-stool1_revised_C1382628_1_gene186575	0	0	0	0
159551223-stool1_revised_scaffold39961_1_gene13714	0	0	0	0
T2D-11A_GL0075373	0	0	0	0
159551223-stool1_revised_scaffold42449_1_gene40268	0	0	0	0
T2D-112A_GL0087831	0	0	9752200	0
159551223-stool1_revised_scaffold48187_1_gene88506	0	0	0	0
159551223-stool1_revised_scaffold51075_1_gene125223	0	0	0	0
O2.UC46-1_GL0085994	0	7200600	46702000	0
159551223-stool1_revised_scaffold6772_1_gene160842	0	0	0	0
160158126-stool2_revised_scaffold21660_4_gene84769	0	0	0	0
159551223-stool2_revised_C833433_1_gene136743	0	0	0	0
159551223-stool2_revised_C909903_1_gene47362	0	0	0	0
MH0142_GL0032405	0	0	0	0
159551223-stool2_revised_C933645_1_gene119500	0	0	0	0
159551223-stool2_revised_C942077_1_gene19643	0	0	0	0
159551223-stool2_revised_C959967_1_gene13167	0	0	2083300	1703600
159551223-stool2_revised_C962107_1_gene73173	0	0	0	0
V1.UC26-4_GL0073114	0	0	0	0
159551223-stool2_revised_C967757_1_gene94277	0	0	0	0
159551223-stool2_revised_scaffold26187_1_gene127267	0	0	0	0
MH0266_GL0027014	0	0	0	0
T2D-22A_GL0135451	0	0	0	0
159551223-stool2_revised_scaffold38954_1_gene10976	0	0	0	0
159551223-stool2_revised_scaffold40934_1_gene10315	0	0	0	0
159551223-stool2_revised_scaffold41270_1_gene16557	9582400	0	0	0
159551223-stool2_revised_scaffold46433_1_gene49049	0	0	21054000	0
159551223-stool2_revised_scaffold46565_2_gene70158	0	0	0	2338200
159551223-stool2_revised_scaffold48537_2_gene114530	0	0	0	0
159551223-stool2_revised_scaffold48596_1_gene101500	0	20356000	0	0
159551223-stool2_revised_scaffold49060_1_gene157531	0	0	0	0
159551223-stool2_revised_scaffold49171_1_gene151517	0	0	0	0
159551223-stool2_revised_scaffold49195_1_gene114919	5773500	3805900	7408100	0
159551223-stool2_revised_scaffold5358_6_gene98920	0	0	16658000	0
159551223-stool2_revised_scaffold6581_1_gene32319	3336000	979020	11189000	12411000
159551223-stool2_revised_scaffold6965_1_gene74854	0	0	0	0
159571453-stool1_revised_C629822_1_gene88775	1445500	2688400	0	0
159571453-stool1_revised_C636913_1_gene87562	0	6957500	10434000	2908300
159571453-stool1_revised_C650217_1_gene33677	0	0	0	0
159571453-stool1_revised_C655886_1_gene121815	0	0	0	0
MH0298_GL0031259	0	0	0	0
MH0298_GL0162518	0	0	0	0
159571453-stool1_revised_C674784_1_gene41498	0	4354800	224480000	7332100
159571453-stool1_revised_C677628_1_gene68035	0	0	0	0
159571453-stool1_revised_C683962_1_gene36674	0	0	0	0
159571453-stool1_revised_C688668_1_gene101749	0	0	0	0
159571453-stool1_revised_scaffold7290_1_gene69598	16996000	0	0	6602400
159571453-stool1_revised_C702636_1_gene25919	0	0	5233700	0
159571453-stool1_revised_C705680_1_gene129283	0	0	0	0
159571453-stool1_revised_C726584_1_gene57700	0	0	18972000	0
159571453-stool1_revised_C734554_1_gene70799	23023000	0	230130000	0
159571453-stool1_revised_C736066_1_gene64020	0	5715600	0	9513000
159571453-stool1_revised_C736762_1_gene101654	0	0	0	0
159571453-stool1_revised_C739736_1_gene40099	8942500	0	0	0
T2D-135A_GL0093118	0	0	0	0
159571453-stool1_revised_scaffold11769_2_gene88461	354570	0	0	0
MH0455_GL0008559	0	0	0	0
159571453-stool1_revised_scaffold12420_1_gene47900	0	0	0	0
159571453-stool1_revised_scaffold12645_2_gene17709	0	0	0	0
N084A_GL0012571	0	47042000	0	0
159571453-stool1_revised_scaffold14276_1_gene117069	0	0	5984400	0
159571453-stool1_revised_scaffold14955_1_gene41830	0	0	0	0
NOM023_GL0029340	0	0	0	0
T2D-135A_GL0012947	0	0	0	0
159571453-stool1_revised_scaffold15358_1_gene62457	0	0	0	0
159571453-stool1_revised_scaffold17289_1_gene17470	0	0	0	0
159571453-stool1_revised_scaffold17387_1_gene77999	0	0	5935600	0
159571453-stool1_revised_scaffold19914_2_gene79567	0	0	0	0
N103A_GL0086307	0	0	6435100	2862700
159571453-stool1_revised_scaffold20887_1_gene82828	0	0	0	0
N020A_GL0097059	0	0	5477200	8393300
T2D-102A_GL0026213	0	0	0	0
159571453-stool1_revised_scaffold3331_1_gene124169	0	0	0	0
159571453-stool1_revised_scaffold4542_5_gene101707	0	0	0	6128700
159571453-stool1_revised_scaffold4709_1_gene125033	0	0	0	0
159571453-stool1_revised_scaffold5655_1_gene35184	0	0	0	0
MH0110_GL0064268	0	0	0	0
ED20A_GL0016282	0	0	0	0
159571453-stool1_revised_scaffold7006_1_gene6024	0	0	0	0
159571453-stool1_revised_scaffold7771_1_gene14016	0	0	0	0
NOM023_GL0049392	0	0	5253000	0
MH0041_GL0035472	0	0	0	0
159571453-stool1_revised_scaffold9266_2_gene5398	0	0	0	0
NOM023_GL0027458	0	0	2696000	0
V1.CD43-0_GL0126959	0	0	0	0
159571453-stool2_revised_C1053527_1_gene152527	2728200	0	0	0
159571453-stool2_revised_C1116439_1_gene163819	0	0	0	0
159571453-stool2_revised_C1121653_1_gene169218	0	0	0	0
T2D-48A_GL0091949	0	0	0	0
159571453-stool2_revised_C1174680_1_gene181820	0	0	0	0
159571453-stool2_revised_C1176372_1_gene201855	0	0	0	0
159571453-stool2_revised_C1183916_1_gene218073	0	0	0	0
V1.UC38-4_GL0096306	0	0	0	0
159571453-stool2_revised_C1192836_1_gene119054	589850	0	0	597900
NOM022_GL0013676	0	0	0	0
MH0150_GL0127194	0	0	0	0
O2.UC12-1_GL0094353	13576000	0	0	0
159571453-stool2_revised_scaffold2024_1_gene103624	0	0	6822600	0
MH0176_GL0023309	0	3031700	0	0
MH0398_GL0209714	0	0	0	0
T2D-48A_GL0118677	0	0	0	0
159571453-stool2_revised_scaffold27605_1_gene64090	0	0	3241500	0
MH0068_GL0016264	0	0	0	0
159571453-stool2_revised_scaffold5340_1_gene27604	0	0	6772900	0
MH0384_GL0046035	0	0	0	0
159571453-stool2_revised_scaffold917_1_gene7178	0	0	25439000	0
159591683-stool1_revised_C140795_1_gene14806	0	0	0	0
159591683-stool1_revised_C154872_1_gene24475	0	11818000	0	0
DOM001_GL0021089	0	0	0	0
159591683-stool1_revised_C157410_1_gene10839	0	0	0	0
159591683-stool1_revised_C159272_1_gene4156	0	0	0	0
159591683-stool2_revised_C249566_1_gene40952	8757000	0	6108000	0
159591683-stool2_revised_C253444_1_gene29246	0	0	0	0
159591683-stool2_revised_C274437_1_gene29988	0	0	0	0
159591683-stool2_revised_C275983_1_gene6821	0	0	0	0
BGI-34A_GL0123877	0	0	0	0
159591683-stool2_revised_scaffold8305_1_gene26201	0	0	0	17172000
159591683-stool2_revised_scaffold8989_1_gene21995	0	0	0	0
159591683-stool2_revised_scaffold9879_1_gene8206	16243000	0	0	0
MH0389_GL0180189	0	0	0	0
V1.UC21-0_GL0012861	0	0	0	0
159611913-stool1_revised_C748994_1_gene110675	0	0	0	0
MH0126_GL0034277	0	0	84524000	0
159611913-stool1_revised_C776698_1_gene70461	0	0	0	0
159611913-stool1_revised_C782330_1_gene77760	0	9774800	5732100	10651000
MH0135_GL0101488	0	0	0	0
764042746-stool1_revised_C274143_1_gene39765	0	0	0	0
O2.UC18-0_GL0035877	9513400	0	5677400	0
159611913-stool1_revised_scaffold18860_1_gene47467	0	4665800	7459800	7408100
159611913-stool1_revised_scaffold19516_1_gene78602	0	0	0	0
159611913-stool1_revised_scaffold19661_1_gene85536	6744200	0	0	0
159611913-stool1_revised_scaffold4627_1_gene69704	0	0	0	0
NLM023_GL0082252	0	0	0	0
159611913-stool2_revised_C586663_1_gene67179	0	0	0	0
159611913-stool2_revised_C622913_1_gene45427	0	0	0	0
159611913-stool2_revised_scaffold10392_1_gene89531	0	0	0	0
MH0094_GL0119765	0	0	0	0
159611913-stool2_revised_scaffold1201_1_gene63422	0	0	0	0
MH0055_GL0004600	0	0	0	0
V1.UC57-0_GL0039756	0	0	0	0
159611913-stool2_revised_scaffold3116_1_gene34129	0	0	0	0
MH0267_GL0177582	0	0	0	0
159632143-stool1_revised_C834507_1_gene48016	0	0	0	0
159632143-stool1_revised_C835829_1_gene24305	0	0	4011300	0
MH0316_GL0193124	0	0	0	0
159632143-stool1_revised_C897866_1_gene147379	0	0	0	0
159632143-stool1_revised_C906926_1_gene133121	0	0	0	0
